18,27,48,29,55
55,41,29,56,27
41,56,55,29,27
33,2,38,4,13
47,39,50,77,46
18,48,27,29,55
18,48,27,29,55
18,48,27,29,55
18,29,55,48,27
49,44,26,56,41
18,48,29,27,55
27,48,29,55,18
46,50,39,57,59
18,29,55,48,27
18,48,27,29,55
18,48,27,29,55
27,29,55,48,41
59,57,44,49,26
56,27,41,29,55
18,48,27,29,55
56,41,27,55,29
76,16,25,47,77
60,65,24,6,35
18,48,27,29,55
18,48,27,29,55
18,48,27,29,55
44,26,49,41,56
12,8,19,5,23
47,76,16,77,39
18,48,27,29,55
18,27,48,29,55
49,44,26,18,56
18,48,27,29,55
16,76,25,47,77
60,65,24,6,35
18,48,29,27,55
29,55,18,56,48
44,49,18,26,48
38,13,4,40,33
12,8,19,20,21
38,13,4,33,40
18,29,48,27,55
57,46,59,44,50
18,48,27,29,55
57,50,39,59,46
18,48,27,29,55
49,26,56,57,55
18,48,27,29,55
18,48,27,29,55
8,12,19,5,53
12,77,46,50,39
18,48,27,29,55
29,49,55,26,56
18,48,27,29,55
47,77,46,50,39
18,48,27,29,55
18,48,27,29,55
29,41,55,56,27
57,59,31,5,32
19,8,12,20,21
18,48,27,29,55
41,56,29,55,27
9,74,72,52,1
18,29,55,48,27
18,48,29,27,55
18,29,48,55,27
51,22,72,42,9
18,48,27,29,55
29,48,27,55,18
18,48,27,29,55
18,27,29,55,48
50,46,57,39,77
18,48,27,29,55
18,48,27,29,55
6,65,33,13,38
47,77,46,39,50
18,48,27,29,55
18,48,27,29,55
18,48,27,29,55
38,33,13,40,4
18,48,27,29,55
49,56,55,26,29
18,48,27,29,55
18,48,27,29,55
18,48,27,29,55
48,27,29,55,76
29,55,48,27,18
18,48,27,29,55
18,48,27,29,55
41,56,55,29,27
18,48,27,29,55
43,58,61,60,45
18,48,27,29,55
59,57,50,39,46
18,48,27,29,55
18,27,48,29,55
18,48,27,29,55
18,48,27,29,55
47,57,59,39,46
47,77,6,50,35
